Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY
Date,,,,,,,,,,,,,,,
2021-06-30,133.5021,259.98187,400.07812,133.94073,260.42334,400.75107,132.43962,258.73428,399.25565,132.73204,259.78033,399.2837,63261400,21656500,64827900
2021-07-01,133.80417,260.65366,402.2931,133.86266,260.88397,402.452,132.33229,258.73425,400.76965,133.1511,258.74384,400.83508,52485800,16725300,53441000
2021-07-02,136.42627,266.45984,405.368,136.46526,266.79575,405.72318,134.27206,261.5174,402.37717,134.41827,261.82452,403.45203,78852600,26458000,57697700
2021-07-06,138.43428,266.46942,404.62967,139.53574,268.1105,405.6391,136.53352,263.2448,401.90057,136.53352,266.8245,405.4241,108181800,31565600,68710400
2021-07-07,140.91988,268.64792,406.05966,141.2318,269.3773,406.34006,139.05809,265.97995,403.30252,139.91586,268.13928,405.31198,104911600,23260000,63549500
2021-07-08,139.62347,266.23907,402.7511,140.42276,267.49628,403.50815,137.11835,263.79184,399.57333,138.00539,265.74002,400.75098,105575500,24618600,97595200
2021-07-09,141.44624,266.73804,407.05026,141.9726,266.8436,407.34937,139.04834,264.22363,402.5547,139.14583,264.6075,404.25574,99890800,23916700,76238600
2021-07-12,140.85165,266.14304,408.5084,142.62572,268.49426,408.76077,140.36427,265.43283,406.53635,142.5185,267.90887,406.96625,76299700,18931700,52889600
2021-07-13,141.96286,269.65558,407.1158,143.73692,271.4502,409.21872,140.00362,266.21027,406.85413,140.39351,266.33502,407.72333,100827100,26120100,52911300
2021-07-14,145.38426,271.12393,407.72324,145.79367,272.22757,409.29343,143.95137,269.24292,406.4802,144.36078,270.97037,408.8074,127050800,23113700,64130400
2021-07-15,144.73119,269.70358,406.33063,146.21281,271.12393,407.05963,143.37628,268.55194,404.43332,145.472,270.6345,406.3867,106820300,22604200,55126400
2021-07-16,142.6939,269.43484,403.1436,145.9788,272.64984,407.55505,142.19678,268.19684,402.75107,144.71164,270.70166,407.50833,93251400,26186800,75874700
2021-07-19,138.85336,265.84564,397.18997,140.43246,269.07022,403.20898,138.09306,263.38882,394.38608,140.12054,267.68823,398.33023,121434600,32935600,147987000
2021-07-20,142.46,268.0625,402.8819,143.38603,269.646,404.153,139.35056,265.12582,397.05914,139.83794,266.8245,397.85358,96350000,26259700,99608200
2021-07-21,141.72891,270.05862,406.14374,142.44049,270.1738,406.28397,140.97836,266.1143,402.83517,141.85564,267.6594,404.07822,74993500,24364300,64724400
2021-07-22,143.09361,274.6077,406.99423,144.45827,274.8764,407.23724,142.1286,271.9973,405.33994,142.25533,272.4004,406.3213,77338200,23384100,47878500
2021-07-23,144.80913,277.99536,411.18143,144.96509,278.30243,411.51788,143.21054,274.95312,408.23734,143.82463,275.78806,408.91962,71447400,22768100,63766600
2021-07-26,145.2283,277.4003,412.1908,146.04709,278.01453,412.20016,143.97087,275.08746,410.54587,144.52647,277.35233,410.5926,72434100,23176100,43719200
2021-07-27,143.06433,274.99155,410.31226,145.44273,277.909,411.18146,141.87514,271.54623,407.48965,145.355,277.76505,411.1534,104818600,33604100,67397100
2021-07-28,141.3195,274.68433,410.144,143.25926,278.45593,411.5179,138.9411,272.39062,408.7234,141.1538,277.34268,410.93845,118931200,33566900,52472400
2021-07-29,141.96286,274.95312,411.84497,142.84988,276.98767,412.9198,140.92963,274.55005,411.05988,141.03685,274.70358,411.06924,56699500,18168300,47435300
2021-07-30,142.17729,273.42725,409.84494,142.63542,275.10672,411.2936,140.47148,272.46756,409.1533,140.73466,273.6768,409.28415,70440600,20944800,68951200
2021-08-02,141.84592,273.34088,408.9851,143.2398,275.21228,412.10678,141.58273,272.30438,408.62994,142.6647,274.8188,411.55533,62880000,16267400,58783300
2021-08-03,143.63942,275.54813,412.31238,144.30225,275.65372,412.4339,141.51445,272.55386,407.5925,142.12856,273.91666,409.77954,64786600,17879000,58053900
2021-08-04,143.23979,274.96274,410.28424,144.05858,275.9992,412.28433,142.58672,273.17767,410.0506,143.55171,274.68442,411.03192,56368300,16191300,46732200
2021-08-05,143.347,277.85135,412.88254,144.1073,277.95694,412.96664,142.47948,274.5692,411.12543,143.26901,275.31778,411.4432,46397700,13900200,38969700
2021-08-06,142.66367,277.7938,413.5648,143.6106,277.83218,413.98538,142.1658,276.02795,412.9199,142.86868,276.8821,413.2003,54126800,16589300,46930000
2021-08-09,142.61488,276.70932,413.22827,143.21037,279.79953,413.85446,142.05846,276.2103,412.46185,142.72227,278.0721,413.53668,48908700,16117600,41222600
2021-08-10,142.13655,274.89548,413.74237,144.19637,277.59222,414.4527,141.84369,273.70547,412.9947,142.95656,277.16034,413.67694,69023100,18616600,43339300
2021-08-11,142.3903,275.38504,414.7704,143.22984,277.02612,414.86386,142.06815,274.33896,413.68622,142.57579,275.63455,414.80777,48493500,13955900,44034300
2021-08-12,145.34824,278.12967,416.01343,145.50444,278.28323,416.15366,142.37079,274.79953,413.7236,142.71246,275.07785,414.62085,72282600,14561300,38909400
2021-08-13,145.55324,281.0472,416.77057,145.88515,281.09518,416.78925,144.74298,277.64026,415.97614,145.42633,277.81305,416.46213,59375000,18249000,39470300
2021-08-16,147.52522,282.7266,417.75186,147.59357,282.9377,417.8827,142.98584,278.33118,413.91986,145.00659,281.3734,415.47137,103296000,22507600,73740000
2021-08-17,146.61734,281.26785,415.0134,148.07188,281.60376,415.87323,145.5435,279.34845,412.03192,146.65639,280.60568,415.20032,92229700,20075300,92673900
2021-08-18,142.87846,279.54675,410.47113,147.13475,283.47943,415.56488,142.67345,279.10443,410.22815,146.23663,280.80637,414.00403,86326000,21813000,89351900
2021-08-19,143.21034,285.3545,411.1066,144.47942,286.0276,412.30295,141.06268,277.53723,407.61108,141.58006,277.5853,407.75128,86960300,29850500,92812200
2021-08-20,144.6649,292.6524,414.37784,144.96753,294.0755,414.70496,143.28844,286.59476,410.96643,143.93274,288.19092,411.45245,60549600,40817600,72008700
2021-08-23,146.14879,292.93134,418.02298,146.61737,293.6525,418.92957,144.37207,290.23904,414.4527,144.78209,291.5852,416.06024,60131800,22830200,54973000
2021-08-24,146.06087,290.97937,418.68652,147.27138,293.89282,419.21927,145.60205,290.3832,418.1725,145.89491,293.28705,418.68652,48606400,18175800,38744700
2021-08-25,144.83089,290.39288,419.56506,146.74426,292.87363,420.0791,144.28421,288.86404,418.49957,146.2464,292.5948,418.87344,58991300,20006100,40529700
2021-08-26,144.03036,287.5852,417.08838,145.57278,290.79672,419.5184,144.00108,287.4506,416.9949,144.8211,289.4121,419.28473,48597200,17666100,57829600
2021-08-27,145.06519,288.19098,420.8175,145.21161,289.29672,421.19135,143.33728,285.41214,417.83603,143.97182,287.48904,417.89212,55802400,22605700,77235100
2021-08-30,149.47763,291.9121,422.66803,149.83884,292.51788,423.45312,145.07492,289.47943,421.24738,145.45564,289.5371,421.4904,90956700,16348100,48357400
2021-08-31,148.2183,290.2679,422.04187,149.16524,292.78714,422.91107,147.69115,289.90253,421.44373,149.02856,292.7102,422.57462,86453100,26285300,59300200
2021-09-01,148.88217,290.21982,422.26617,151.29341,293.4506,423.49054,148.71622,289.8929,422.03253,149.19456,291.21982,422.9765,80313700,18983800,48721400
2021-09-02,149.99501,289.56592,423.56528,151.03957,291.6909,424.36905,148.77475,288.63324,422.36896,150.20978,290.57553,423.6868,71115500,16285600,42501000
2021-09-03,150.62955,289.55643,423.46243,150.9517,290.96027,423.9765,149.44832,288.71027,422.03244,150.10239,289.41217,422.43436,57808700,14747900,47170500
2021-09-07,152.96274,288.63327,421.94836,153.51917,289.50827,423.2101,150.71745,286.72946,421.27542,151.28365,289.43137,423.11664,82278300,17180400,51671500
2021-09-08,151.4203,288.6621,421.43427,153.30438,289.04672,422.1446,150.31718,286.02753,419.51825,153.24582,288.24866,421.4156,74420200,15046800,56181900
2021-09-09,150.40504,285.8159,419.63052,152.39651,290.5178,422.98584,150.28789,285.5755,419.3875,151.79126,289.24857,421.2381,57305700,19927000,57970400
2021-09-10,145.42636,284.33524,416.32193,151.7815,288.3833,421.97644,145.16278,284.01794,416.2004,151.31293,286.941,421.55588,140893200,19633400,89948200
2021-09-13,145.99255,285.56598,417.38736,147.81807,287.05637,419.57443,145.21158,282.7679,415.07883,147.04686,286.10443,419.3127,102404300,23652900,83738600
2021-09-14,144.59656,288.25833,415.1349,147.4764,289.79678,419.0323,143.41534,286.63333,414.24698,146.77353,288.03717,418.82666,109296300,21853400,78197100
2021-09-15,145.48492,293.0948,418.60248,145.88518,293.57556,419.09784,142.8882,290.21017,414.45273,145.02611,291.5948,415.55557,83281300,28356300,78792200
2021-09-16,145.25063,293.47937,417.93884,145.42635,293.56592,419.05103,143.71799,289.19095,414.99472,144.90897,292.07553,418.07904,68034100,19550800,77786700
2021-09-17,142.58559,288.33514,413.86768,145.27994,292.78705,417.59006,142.29272,288.00824,413.51138,145.27994,292.46976,417.16812,129868800,41372500,118425000
2021-09-20,139.53983,282.9795,406.96677,141.39462,287.2295,409.32956,137.90955,278.38336,402.10983,140.37936,284.9314,407.75436,123478900,38278700,166445500
2021-09-21,140.0181,283.46017,406.58234,141.16028,286.0948,410.59537,139.38356,282.75827,406.05728,140.50621,284.31595,409.30145,75834000,22364100,92526100
2021-09-22,142.38054,287.09476,410.5485,142.94673,288.6717,412.58316,140.28168,283.18134,406.69485,141.01384,285.31595,408.85138,76404300,26626300,102350100
2021-09-23,143.33725,288.03708,415.53668,143.5813,289.32553,417.14005,142.17555,286.08517,412.18,143.16153,287.3544,412.4144,64838200,18604600,76396000
2021-09-24,143.4251,287.8352,416.22113,143.96202,288.26788,416.93375,142.09744,285.50827,413.68954,142.19507,286.7583,413.90518,53477900,14999000,62094800
2021-09-27,141.91196,282.85446,415.03033,142.48793,285.06598,416.35236,140.39883,281.67175,414.3365,142.00958,284.7487,415.18973,74150700,23571700,61371100
2021-09-28,138.5343,272.61407,406.6667,141.30675,279.59482,412.59247,138.31953,271.87372,405.93533,139.84242,278.6525,412.2643,108972300,43186200,130436300
2021-09-29,139.43243,273.07568,407.35114,141.0139,275.73914,409.77957,138.65146,272.12378,406.78854,139.081,274.13336,408.04498,74602000,26353700,82329200
2021-09-30,138.13405,271.0757,402.37234,140.94554,276.75836,409.5264,137.91928,270.78723,402.0348,140.24268,274.7199,408.82318,89056700,32343600,140506000
2021-10-01,139.25668,277.9795,407.15424,139.52026,278.82565,408.83258,135.8009,270.4699,400.5815,138.52452,271.26797,404.0976,94639600,30086300,129240100
2021-10-04,135.83022,272.21988,401.90353,138.8272,276.6814,406.89166,134.98091,269.4699,399.76572,138.3879,276.34488,405.99158,98322000,31350700,128570000
2021-10-05,137.75333,277.6526,406.08536,138.85645,279.2295,408.32626,136.04495,273.12375,402.60678,136.17186,273.12375,403.40375,80861100,24993000,90682500
2021-10-06,138.62213,281.8352,407.77304,138.76855,282.33524,407.9793,135.07848,274.52756,400.87213,136.15231,274.78717,402.4942,83221100,28002600,113032200
2021-10-07,139.88147,283.5083,411.29858,140.78935,285.22946,414.1302,139.32504,282.61407,410.86728,139.65695,283.8256,411.04544,61732700,20430500,72437500
2021-10-08,139.50075,283.5083,410.5485,140.7503,285.22946,412.4519,139.16884,282.46024,409.9203,140.60387,284.8256,412.06747,58773200,17685700,74557400
2021-10-11,139.41287,282.91214,407.57617,141.3653,286.50827,412.79874,138.43666,281.48904,407.51053,138.88573,281.65253,409.89212,64452200,19298600,65233300
2021-10-12,138.14383,281.6141,406.57297,139.84244,284.07562,408.8983,137.68501,281.1045,405.78537,139.82292,283.97946,408.49512,73035900,17974100,71181200
2021-10-13,137.55807,284.91208,408.03558,138.0364,285.84476,408.85132,135.88875,282.20056,404.62265,137.88023,283.56595,407.5949,78762700,23416300,72974000
2021-10-14,140.3403,291.10443,414.89908,140.45746,291.60443,415.0491,138.14383,286.37366,411.22357,138.72955,287.7006,411.69238,69907100,27262900,70236800
2021-10-15,141.3946,292.50827,418.05893,141.45317,292.73904,418.42462,140.09624,288.9602,416.38995,140.35007,290.7102,417.0088,67940300,25384800,66260200
2021-10-18,143.06392,295.46982,419.2965,143.34702,296.3544,419.63403,139.75456,291.04675,415.621,140.03766,291.8929,416.27734,85589200,22729300,62213200
2021-10-19,145.22136,296.37357,422.5314,145.62161,297.40237,422.59702,143.06393,295.4024,420.3092,143.51299,296.48895,420.9187,76378900,17682100,46996800
2021-10-20,145.70946,295.58524,424.19086,146.1878,297.78717,424.4909,144.59657,294.33524,422.87817,145.16278,297.31598,422.9907,58418800,16537100,49571600
2021-10-21,145.92424,298.8064,425.29736,146.08044,299.05637,425.52237,144.35254,294.57562,423.15958,145.27017,295.3545,423.59088,61421000,16918100,41305400
2021-10-22,145.15298,297.26785,424.8566,146.60753,299.1236,426.30994,145.10417,295.96014,422.9157,146.1292,298.46014,424.866,58883400,17449300,58845100
2021-10-25,145.10422,296.27747,427.13504,145.81685,297.4986,427.46323,144.10847,294.6717,424.17218,145.14326,297.46014,425.94427,50720600,17554500,45214500
2021-10-26,145.76807,298.18134,427.5195,147.25189,300.38327,429.8917,145.46542,296.72943,427.14447,145.77782,299.0371,428.6822,60893400,28107300,56075100
2021-10-27,145.3092,310.73898,425.62552,146.16826,313.55627,428.64468,144.95776,303.84476,425.5505,145.80707,303.84476,427.97897,56094900,52588700,72438000
2021-10-28,148.94072,311.8735,429.73227,149.52644,312.3735,429.80728,146.15851,308.9985,427.0413,146.25613,311.85425,427.05066,100077900,26297900,51437900
2021-10-29,146.23665,318.8639,430.6043,146.37332,319.22928,430.89496,142.92729,311.44086,427.14447,143.71802,311.66202,427.43512,124953200,34766000,70162400
2021-11-01,145.4166,316.70044,431.34503,146.13898,318.7389,431.96387,144.28418,313.81583,429.6198,145.44588,318.6139,431.5888,74588300,27073200,48433600
2021-11-02,146.45139,320.31586,433.08896,147.96452,320.62357,433.39838,145.11397,317.30624,431.38248,145.12373,317.6043,431.51376,69122000,26487100,48908400
2021-11-03,147.88638,321.15237,435.73315,148.35497,322.01776,436.13632,146.2561,317.93124,432.0858,146.81255,321.0562,432.52646,54511500,21500100,52509800
2021-11-04,147.36902,323.49847,437.78653,148.80403,323.59464,437.8709,147.05663,316.83505,435.98627,147.97426,320.08505,436.3332,60394600,23992200,52847100
2021-11-05,147.89696,323.13312,439.30542,148.79639,325.75812,441.29318,146.70424,321.5562,437.79587,148.49332,325.4889,440.00864,65463900,22570100,66390600
2021-11-08,147.07573,324.0273,439.68045,148.18047,324.66193,440.89938,146.80199,321.5754,438.996,148.02403,324.32538,440.40244,55020900,20897000,50405200
2021-11-09,147.43745,323.02734,438.2272,148.04358,325.6908,440.2806,146.70422,321.66196,436.82077,146.8411,324.1427,440.0462,56787900,21307400,51149100
2021-11-10,144.61205,318.07538,434.70166,146.77263,321.75806,438.22714,144.54362,317.22925,433.2202,146.66508,321.70038,436.5394,65187100,25500900,69429700
2021-11-11,144.5632,319.6427,434.84225,146.08832,320.93115,436.26746,144.37744,317.79657,434.82352,145.62885,318.5081,436.19244,41000000,16849800,34848500
2021-11-12,146.63577,323.7677,438.12402,147.03659,324.2581,438.67722,144.1819,320.9504,435.16113,145.11064,321.0754,436.10812,63804000,23831000,53466700
2021-11-15,146.64557,323.14273,438.27405,148.48354,324.88312,439.56796,146.0883,321.18118,437.14893,147.0073,324.55618,439.4086,59222800,16723000,46980500
2021-11-16,147.62325,326.4504,440.00873,148.1023,327.5658,441.14325,146.00037,322.60428,437.93658,146.58694,322.76773,438.0116,59256200,20886800,48857500
2021-11-17,150.05754,326.67194,438.9398,151.53377,329.62924,439.9243,147.61345,325.59305,438.32095,147.62321,326.49854,439.74612,88807000,19053400,47858300
2021-11-18,154.33957,328.743,440.4306,155.12169,329.87973,440.69315,149.62737,324.74536,437.25204,150.27261,325.76645,439.97116,137827700,22463500,50625600
2021-11-19,156.95963,330.51556,439.64294,157.41911,332.43253,441.56506,153.02953,329.639,439.27725,154.12447,330.06284,440.318,117305600,21963400,57315600
2021-11-22,157.41913,327.35583,438.40527,161.99446,336.83466,444.0029,157.39957,327.08612,438.199,158.06436,331.97003,441.5182,117467900,31031100,72762000
2021-11-23,157.80042,325.28482,438.98663,158.18169,326.98987,439.83987,155.50296,321.31607,435.47992,157.51689,324.67795,438.07715,96041900,30427600,73206500
2021-11-24,158.31854,325.50638,440.15866,158.51407,325.7472,440.28055,156.06998,321.6532,436.17377,157.15515,323.93622,436.98947,69463600,21661300,61858800
