Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY
Date,,,,,,,,,,,,,,,,,,
2021-07-06,138.4342803955078,266.4693603515625,404.629638671875,142.02000427246094,277.6600036621094,432.92999267578125,143.14999389648438,279.3699951171875,434.010009765625,140.07000732421875,274.29998779296875,430.010009765625,140.07000732421875,278.0299987792969,433.7799987792969,108181800,31565600,68710400
2021-07-07,140.91990661621094,268.64788818359375,406.0596618652344,144.57000732421875,279.92999267578125,434.4599914550781,144.88999938964844,280.69000244140625,434.760009765625,142.66000366210938,277.1499938964844,431.510009765625,143.5399932861328,279.3999938964844,433.6600036621094,104911600,23260000,63549500
2021-07-08,139.6234588623047,266.2391052246094,402.7510986328125,143.24000549316406,277.4200134277344,430.9200134277344,144.05999755859375,278.7300109863281,431.7300109863281,140.6699981689453,274.8699951171875,427.5199890136719,141.5800018310547,276.8999938964844,428.7799987792969,105575500,24618600,97595200
2021-07-09,141.44622802734375,266.73809814453125,407.0504150390625,145.11000061035156,277.94000244140625,435.5199890136719,145.64999389648438,278.04998779296875,435.8399963378906,142.64999389648438,275.32000732421875,430.7099914550781,142.75,275.7200012207031,432.5299987792969,99890800,23916700,76238600
2021-07-12,140.8516387939453,266.14306640625,408.50836181640625,144.5,277.32000732421875,437.0799865722656,146.32000732421875,279.7699890136719,437.3500061035156,144.0,276.5799865722656,434.9700012207031,146.2100067138672,279.1600036621094,435.42999267578125,76299700,18931700,52889600
2021-07-13,141.96286010742188,269.65557861328125,407.11578369140625,145.63999938964844,280.9800109863281,435.5899963378906,147.4600067138672,282.8500061035156,437.8399963378906,143.6300048828125,277.3900146484375,435.30999755859375,144.02999877929688,277.5199890136719,436.239990234375,100827100,26120100,52911300
2021-07-14,145.3842315673828,271.1239318847656,407.7232971191406,149.14999389648438,282.510009765625,436.239990234375,149.57000732421875,283.6600036621094,437.9200134277344,147.67999267578125,280.54998779296875,434.9100036621094,148.10000610351562,282.3500061035156,437.3999938964844,127050800,23113700,64130400
2021-07-15,144.7311553955078,269.7035827636719,406.3306579589844,148.47999572753906,281.0299987792969,434.75,150.0,282.510009765625,435.5299987792969,147.08999633789062,279.8299865722656,432.7200012207031,149.24000549316406,282.0,434.80999755859375,106820300,22604200,55126400
2021-07-16,142.69390869140625,269.4348449707031,403.1436462402344,146.38999938964844,280.75,431.3399963378906,149.75999450683594,284.1000061035156,436.05999755859375,145.8800048828125,279.4599914550781,430.9200134277344,148.4600067138672,282.07000732421875,436.010009765625,93251400,26186800,75874700
2021-07-19,138.85340881347656,265.8456726074219,397.1900329589844,142.4499969482422,277.010009765625,424.9700012207031,144.07000732421875,280.3699951171875,431.4100036621094,141.6699981689453,274.45001220703125,421.9700012207031,143.75,278.92999267578125,426.19000244140625,121434600,32935600,147987000
2021-07-20,142.45999145507812,268.0624694824219,402.8819580078125,146.14999389648438,279.32000732421875,431.05999755859375,147.10000610351562,280.9700012207031,432.4200134277344,142.9600067138672,276.260009765625,424.8299865722656,143.4600067138672,278.0299987792969,425.67999267578125,96350000,26259700,99608200
2021-07-21,141.72891235351562,270.0587158203125,406.1437072753906,145.39999389648438,281.3999938964844,434.54998779296875,146.1300048828125,281.5199890136719,434.70001220703125,144.6300048828125,277.2900085449219,431.010009765625,145.52999877929688,278.8999938964844,432.3399963378906,74993500,24364300,64724400
2021-07-22,143.09356689453125,274.607666015625,406.9943542480469,146.8000030517578,286.1400146484375,435.4599914550781,148.1999969482422,286.4200134277344,435.7200012207031,145.80999755859375,283.4200134277344,433.69000244140625,145.94000244140625,283.8399963378906,434.739990234375,77338200,23384100,47878500
2021-07-23,144.8091278076172,277.995361328125,411.181396484375,148.55999755859375,289.6700134277344,439.94000244140625,148.72000122070312,289.989990234375,440.29998779296875,146.9199981689453,286.5,436.7900085449219,147.5500030517578,287.3699951171875,437.5199890136719,71447400,22768100,63766600
2021-07-26,145.22828674316406,277.4003601074219,412.1908264160156,148.99000549316406,289.04998779296875,441.0199890136719,149.8300018310547,289.69000244140625,441.0299987792969,147.6999969482422,286.6400146484375,439.260009765625,148.27000427246094,289.0,439.30999755859375,72434100,23176100,43719200
2021-07-27,143.06434631347656,274.991455078125,410.31219482421875,146.77000427246094,286.5400085449219,439.010009765625,149.2100067138672,289.5799865722656,439.94000244140625,145.5500030517578,282.95001220703125,435.989990234375,149.1199951171875,289.42999267578125,439.9100036621094,104818600,33604100,67397100
